epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,3123.06,0.98308,0.90614,1.14755,0.58359,0.54521,0.58067,0.42466,1.22343,1.67014,1.29016,5.20548e-06,5.20548e-06,5.20548e-06
100,3154.17,1.01996,1.01753,1.1312,0.59815,0.55163,0.58048,0.4209,1.2383,1.71011,1.30322,5.12775e-06,5.12775e-06,5.12775e-06
101,3185.67,0.97283,0.89188,1.13912,0.62769,0.53875,0.58075,0.42377,1.21966,1.69364,1.2911,5.05e-06,5.05e-06,5.05e-06
102,3216.89,0.96121,0.89449,1.11894,0.63184,0.5371,0.58737,0.42942,1.23128,1.70831,1.29398,4.97225e-06,4.97225e-06,4.97225e-06
103,3248.46,0.9833,0.94285,1.13103,0.53693,0.59812,0.58142,0.42658,1.22777,1.71545,1.29114,4.89452e-06,4.89452e-06,4.89452e-06
104,3279.94,0.9911,0.95483,1.12014,0.55804,0.55415,0.5788,0.4193,1.25054,1.73048,1.29351,4.81682e-06,4.81682e-06,4.81682e-06
105,3311.57,0.96224,0.91227,1.11707,0.60706,0.55837,0.58642,0.42135,1.25841,1.69819,1.3095,4.73919e-06,4.73919e-06,4.73919e-06
106,3342.63,0.95684,0.8656,1.12111,0.57409,0.58441,0.58692,0.42536,1.2237,1.68075,1.28012,4.66163e-06,4.66163e-06,4.66163e-06
107,3374.03,0.99664,0.9476,1.13199,0.63464,0.54511,0.58881,0.42585,1.21819,1.69258,1.27261,4.58416e-06,4.58416e-06,4.58416e-06
108,3405.14,0.94909,0.8831,1.12351,0.5488,0.57979,0.58635,0.42285,1.2297,1.70381,1.27848,4.50682e-06,4.50682e-06,4.50682e-06
109,3436.61,0.95184,0.9076,1.11409,0.57548,0.56176,0.5798,0.42559,1.21795,1.75717,1.26323,4.4296e-06,4.4296e-06,4.4296e-06
110,3467.63,0.95989,0.93278,1.12021,0.65576,0.51208,0.58303,0.43104,1.22106,1.731,1.29143,4.35254e-06,4.35254e-06,4.35254e-06
111,3498.82,0.96281,0.88361,1.11302,0.65045,0.52008,0.58042,0.43037,1.20414,1.7086,1.27797,4.27565e-06,4.27565e-06,4.27565e-06
112,3529.79,0.95251,0.91259,1.12991,0.64627,0.51983,0.58194,0.42832,1.21709,1.70189,1.28378,4.19895e-06,4.19895e-06,4.19895e-06
113,3560.83,0.95721,0.9171,1.10095,0.6521,0.51491,0.57788,0.42731,1.22057,1.76787,1.27783,4.12246e-06,4.12246e-06,4.12246e-06
114,3592.27,0.95347,0.87848,1.10345,0.64501,0.51628,0.58148,0.43036,1.21403,1.7652,1.25928,4.0462e-06,4.0462e-06,4.0462e-06
115,3623.17,0.96875,0.88963,1.10427,0.59791,0.54365,0.58213,0.42759,1.22145,1.77403,1.27612,3.97019e-06,3.97019e-06,3.97019e-06
116,3654.55,0.95298,0.90359,1.11381,0.71919,0.48142,0.5824,0.42496,1.23545,1.76029,1.28583,3.89445e-06,3.89445e-06,3.89445e-06
117,3685.65,0.92752,0.84637,1.08556,0.59798,0.5355,0.58238,0.41864,1.24669,1.72832,1.29454,3.81899e-06,3.81899e-06,3.81899e-06
